X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
7.536135	6.450017	2.942364	0.000803	1314415	1318129	833	835	-5.390513	34.323799	90.785904	93.061989
7.543982	6.434934	2.897666	0.003785	1314415	1318136	833	835	-5.390513	34.323799	90.785904	93.109787
7.569920	6.381807	2.734569	0.008339	1314415	1318169	833	835	-5.390513	34.323799	90.785904	93.283257
7.572282	6.374000	2.705767	0.003930	1314415	1318181	833	835	-5.390513	34.323799	90.785904	93.313110
7.579371	6.350553	2.619281	0.009311	1314415	1318211	833	835	-5.390513	34.323799	90.785904	93.402748
7.594512	6.354942	2.729223	0.002895	1314419	1318408	833	835	-5.390513	34.323799	90.785904	93.299767
7.548822	6.505609	3.342279	0.002091	1314425	1318079	833	835	-5.390513	34.323799	90.785904	92.669655
7.551168	6.497869	3.313778	0.002304	1314425	1318083	833	835	-5.390513	34.323799	90.785904	92.699203
7.553514	6.490127	3.285264	0.006702	1314425	1318087	833	835	-5.390513	34.323799	90.785904	92.728760
7.559000	6.482847	3.269368	0.000656	1314425	1318364	833	835	-5.390513	34.323799	90.785904	92.746712
7.587250	6.422165	3.078703	0.000748	1314425	1318101	833	835	-5.390513	34.323799	90.785904	92.948784
7.562648	6.515805	3.410399	0.007362	1314429	1318073	833	835	-5.390513	34.323799	90.785904	92.604256
7.608965	6.417352	3.102567	0.005788	1314429	1318097	833	835	-5.390513	34.323799	90.785904	92.930748
7.574080	6.510430	3.442518	0.002651	1314431	1318069	833	835	-5.390513	34.323799	90.785904	92.577164
7.762640	6.575872	2.593886	0.007444	1314450	1318121	833	835	-5.390513	34.323799	90.785904	93.385139
7.777945	6.537437	2.461862	0.002838	1314450	1318145	833	835	-5.390513	34.323799	90.785904	93.523399
7.790842	6.506720	2.358598	0.008707	1314450	1318169	833	835	-5.390513	34.323799	90.785904	93.631866
7.806902	6.476416	2.268019	0.002712	1314450	1318193	833	835	-5.390513	34.323799	90.785904	93.728676
7.632745	6.490973	3.597783	0.009345	1314453	1318049	833	835	-5.390513	34.323799	90.785904	92.444794
7.976541	5.759072	1.309495	0.004906	1314453	1318281	833	835	-5.390513	34.323799	90.785904	94.871750
7.982187	5.751550	1.293021	0.002574	1314453	1318576	833	835	-5.390513	34.323799	90.785904	94.890350
7.704838	6.488863	3.603171	0.000770	1314465	1318341	833	835	-5.390513	34.323799	90.785904	92.450531
7.922371	6.029984	2.171407	0.006591	1314465	1318154	833	835	-5.390513	34.323799	90.785904	93.969688
8.053025	5.748641	1.284496	0.000577	1314465	1318273	833	835	-5.390513	34.323799	90.785904	94.909271
8.068800	5.708783	1.149701	0.009923	1314465	1318598	833	835	-5.390513	34.323799	90.785904	95.050621
8.074473	5.701239	1.133172	0.002432	1314465	1318600	833	835	-5.390513	34.323799	90.785904	95.069283
8.080147	5.693693	1.116639	0.005060	1314465	1318602	833	835	-5.390513	34.323799	90.785904	95.087952
8.101661	5.646151	0.964877	0.002052	1314465	1318289	833	835	-5.390513	34.323799	90.785904	95.248428
7.851348	6.608013	2.506020	0.006109	1314466	1318113	833	835	-5.390513	34.323799	90.785904	93.471115
7.939025	6.424705	1.922483	0.005804	1314466	1318226	833	835	-5.390513	34.323799	90.785904	94.089020
7.792896	6.560318	3.427432	0.006056	1314475	1318041	833	835	-5.390513	34.323799	90.785904	92.607323
8.163358	5.780982	0.976563	0.004824	1314475	1318596	833	835	-5.390513	34.323799	90.785904	95.205658
8.169062	5.773436	0.959963	0.002684	1314475	1318598	833	835	-5.390513	34.323799	90.785904	95.224396
8.195930	5.709696	0.747963	0.009360	1314475	1318293	833	835	-5.390513	34.323799	90.785904	95.447311
7.916961	6.725154	2.702830	0.005864	1314480	1318079	833	835	-5.390513	34.323799	90.785904	93.259865
7.927530	6.702392	2.628790	0.007316	1314480	1318364	833	835	-5.390513	34.323799	90.785904	93.338036
7.956820	6.641698	2.435166	0.007241	1314480	1318101	833	835	-5.390513	34.323799	90.785904	93.543053
7.867589	6.550476	3.404345	0.000282	1314485	1318033	833	835	-5.390513	34.323799	90.785904	92.642708
8.215296	5.817383	1.090266	0.008270	1314485	1318261	833	835	-5.390513	34.323799	90.785904	95.094910
8.256305	5.730546	0.815553	0.009850	1314485	1318610	833	835	-5.390513	34.323799	90.785904	95.385918
7.947144	6.736757	2.789051	0.002932	1314486	1318069	833	835	-5.390513	34.323799	90.785904	93.179314
7.931852	6.563363	3.454220	0.007011	1314497	1318021	833	835	-5.390513	34.323799	90.785904	92.601028
7.931227	6.555182	3.413066	0.009184	1314497	1318025	833	835	-5.390513	34.323799	90.785904	92.642204
8.286869	5.823083	1.124539	0.006322	1314497	1318249	833	835	-5.390513	34.323799	90.785904	95.071144
8.458715	5.465640	0.001095	0.007505	1314497	1318325	833	835	-5.390513	34.323799	90.785904	96.262535
8.049130	6.815447	2.550291	0.000921	1314498	1318073	833	835	-5.390513	34.323799	90.785904	93.396233
8.097687	6.716986	2.236028	0.002541	1314498	1318097	833	835	-5.390513	34.323799	90.785904	93.729118
8.189898	6.525829	1.618789	0.001681	1314498	1318438	833	835	-5.390513	34.323799	90.785904	94.381828
8.110737	6.827902	2.588131	0.003623	1314510	1318061	833	835	-5.390513	34.323799	90.785904	93.365707
