Color, 196, 208, 97, Center, 218.974457, 1588.807129, Size, 31.615416, 628.757202, Angle, 93.392578
Color, 196, 208, 97, Center, 181.258499, 1576.548462, Size, 12.271598, 520.476379, Angle, 93.539001
Color, 196, 208, 97, Center, 205.964142, 1584.026855, Size, 20.403637, 683.111755, Angle, 93.155167
Color, 196, 208, 97, Center, 285.339905, 1578.342163, Size, 5.948453, 561.313293, Angle, 94.051445
Color, 196, 208, 97, Center, 200.080811, 1586.820190, Size, 28.088892, 726.506104, Angle, 93.368240
Color, 196, 208, 97, Center, 196.105957, 1582.288696, Size, 20.754097, 607.636963, Angle, 93.479736
Color, 157, 169, 218, Center, 623.485474, 1459.618774, Size, 248.410614, 1006.071716, Angle, 84.757271
Color, 157, 169, 218, Center, 647.449402, 1460.985962, Size, 277.469360, 1066.497925, Angle, 87.031982
Color, 157, 169, 218, Center, 738.164856, 1492.818848, Size, 272.600403, 855.620850, Angle, 83.674896
Color, 157, 169, 218, Center, 647.065491, 1442.735718, Size, 194.285507, 999.377258, Angle, 258.315704
Color, 157, 169, 218, Center, 635.341003, 1448.788330, Size, 235.090988, 954.393738, Angle, 81.756195
Color, 157, 169, 218, Center, 621.407043, 1457.118042, Size, 230.875214, 985.377869, Angle, 83.046310
Color, 179, 56, 41, Center, 556.636475, 1318.260986, Size, 66.217430, 311.374084, Angle, 89.588051
Color, 179, 56, 41, Center, 567.985840, 1318.892456, Size, 62.675606, 339.616882, Angle, 87.050743
Color, 179, 56, 41, Center, 572.546936, 1314.133057, Size, 22.760582, 351.500916, Angle, 90.825577
Color, 179, 56, 41, Center, 554.315491, 1309.843750, Size, 58.913326, 361.270966, Angle, 87.224594
Color, 179, 56, 41, Center, 599.430298, 1319.059082, Size, 54.682941, 374.333984, Angle, 84.681740
Color, 179, 56, 41, Center, 551.313232, 1318.641846, Size, 71.082657, 331.141724, Angle, 90.802818
Color, 120, 39, 143, Center, 584.413391, 1233.765503, Size, 119.864655, 265.994629, Angle, 89.856300
Color, 120, 39, 143, Center, 583.311035, 1223.083008, Size, 146.844299, 251.432999, Angle, 93.010094
Color, 120, 39, 143, Center, 603.072571, 1259.285767, Size, 68.365799, 254.644867, Angle, 252.262619
Color, 120, 39, 143, Center, 587.783936, 1236.452637, Size, 122.667564, 277.167480, Angle, 89.120018
Color, 120, 39, 143, Center, 584.030823, 1233.832642, Size, 113.881142, 266.543732, Angle, 87.366829
Color, 120, 39, 143, Center, 608.098572, 1259.676880, Size, 76.697586, 223.173645, Angle, 74.265190
Color, 176, 182, 124, Center, 99.202972, 1201.295898, Size, 61.342506, 253.375275, Angle, 180.094193
