PMaxX	PMaxY	PMinX	PMinY	BMaxX	BMaxY	BMinX	BMinY	Cx	Cy	R1	R2	Theta
1111	596	608	220	664	1199	487	971	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1421	1199	1034	968	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	604	1145	387	967	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	514	1113	281	954	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1136	1199	798	942	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1301	1097	1010	904	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1234	952	609	880	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1062	1199	508	853	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1035	906	675	784	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	615	979	291	774	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1585	855	1450	750	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	980	790	679	732	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	327	939	238	687	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1446	1199	1230	673	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	616	841	320	650	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1361	791	1198	552	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1486	1199	1322	522	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	154	1095	0	495	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1116	966	462	448	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1363	1001	965	428	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	677	783	341	403	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	94	591	0	353	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	977	524	715	323	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	587	573	480	278	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1197	661	963	229	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	597	474	379	226	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1111	596	608	220	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	771	725	506	198	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1191	543	604	149	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	210	627	0	82	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1319	601	959	54	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1215	299	418	19	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1599	1199	1217	0	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	1349	582	330	0	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	681	1199	0	0	856.296265	407.801910	375.160248	509.859497	6.278252
1111	596	608	220	297	374	0	0	856.296265	407.801910	375.160248	509.859497	6.278252
