i,area,sdCX, sdCY,count, PixelCount, Theta, Red, Green, Blue, AreaRatio
0, 22310.076172, 6.135630, 3.057627, 496, 22061, 2.193117, 199, 182, 231, 0.011620, 0.011490
1, 48330.722656, 3.057215, 8.554799, 1116, 40377, 31.555613, 214, 90, 231, 0.025172, 0.021030
2, 50244.699219, 8.133757, 4.539279, 1133, 47962, 9.073785, 249, 24, 56, 0.026169, 0.024980
3, 16881.742188, 40.096817, 1.367798, 1012, 10482, 0.901138, 105, 67, 242, 0.008793, 0.005459
4, 9518043.000000, 581.005859, 447.466034, 972, 19099, 67.749184, 50, 149, 106, 4.957314, 0.009947
5, 17499.597656, 5.972886, 10.322368, 1470, 13662, 2.584488, 92, 66, 84, 0.009114, 0.007116
6, 94502.937500, 22.125822, 9.635484, 3163, 51730, 2.300644, 140, 194, 211, 0.049220, 0.026943
7, 19225.722656, 12.895460, 10.039788, 1698, 17634, 64.420883, 124, 176, 45, 0.010013, 0.009184
8, 22512.525391, 12.364331, 11.947149, 986, 24015, 11.861818, 23, 104, 154, 0.011725, 0.012508
9, 56431.062500, 6.867594, 7.840093, 1670, 54192, 4.489173, 22, 201, 59, 0.029391, 0.028225
10, 13389.750977, 55.778522, 3.076328, 862, 10641, 1.416742, 133, 242, 30, 0.006974, 0.005542
11, 316970.937500, 10.913365, 22.270838, 2481, 205953, 2.152428, 26, 23, 159, 0.165089, 0.107267
12, 26172.919922, 2.354980, 9.289881, 1262, 20257, 2.667620, 189, 33, 171, 0.013632, 0.010551
13, 120700.140625, 19.154421, 6.045524, 2642, 45924, 4.530102, 162, 72, 199, 0.062865, 0.023919
14, 42577.363281, 10.658551, 17.677908, 2124, 32445, 87.099083, 26, 145, 71, 0.022176, 0.016898
15, 26483.351563, 14.083986, 5.717212, 1062, 28142, 2.571583, 85, 146, 122, 0.013793, 0.014657
16, 65258.246094, 18.409401, 12.805236, 1749, 28851, 9.669671, 107, 1, 209, 0.033989, 0.015027
17, 12663.057617, 2.397445, 11.335344, 1027, 13097, 5.240695, 111, 136, 209, 0.006595, 0.006821
18, 18641.476563, 5.949970, 4.086841, 1203, 16282, 3.175455, 177, 149, 223, 0.009709, 0.008480
19, 38162.300781, 10.991863, 10.236237, 1538, 24530, 6.010549, 4, 234, 87, 0.019876, 0.012776
20, 109383.914063, 29.801615, 16.102184, 3262, 42642, 13.453787, 155, 176, 148, 0.056971, 0.022209
21, 13075.483398, 4.262982, 4.850873, 1078, 11741, 1.233145, 72, 114, 7, 0.006810, 0.006115
22, 35986.246094, 2.443606, 17.101358, 1358, 40351, 64.694626, 118, 146, 227, 0.018743, 0.021016
23, 54093.417969, 7.544777, 12.474059, 1738, 43691, 4.923846, 36, 11, 83, 0.028174, 0.022756
24, 36847.371094, 8.890444, 16.514301, 1518, 37286, 52.873684, 209, 108, 69, 0.019191, 0.019420
25, 17089.736328, 3.892974, 6.168204, 1071, 17400, 3.209303, 12, 255, 37, 0.008901, 0.009062
26, 17834.009766, 8.440995, 15.167935, 1403, 15172, 2.489632, 203, 54, 176, 0.009289, 0.007902
27, 37716.289063, 6.289663, 4.168383, 2574, 38599, 3.484888, 138, 28, 192, 0.019644, 0.020104
28, 298640.312500, 1.522791, 1.923665, 3710, 180117, 1.540261, 80, 5, 24, 0.155542, 0.093811
28 item matches criteria
29, 292398.437500, 44.908127, 13.264178, 5312, 22896, 5.311245, 139, 55, 29, 0.152291, 0.011925
30, 36337.625000, 18.296228, 31.937336, 1838, 48271, 3.489537, 229, 179, 30, 0.018926, 0.025141
31, 546208.375000, 12.098945, 73.472168, 3392, 168201, 12.384789, 161, 26, 28, 0.284484, 0.087605
32, 72519.468750, 3.371226, 28.737396, 2466, 56983, 7.578826, 190, 178, 143, 0.037771, 0.029679
33, 901856.250000, 49.278809, 35.130241, 4924, 96451, 5.464020, 87, 114, 185, 0.469717, 0.050235
34, 528278.312500, 32.524891, 17.393938, 3749, 155745, 59.170460, 117, 242, 9, 0.275145, 0.081117
35, 344516.062500, 47.334568, 288.327362, 4793, 217118, 1.126269, 9, 16, 57, 0.179435, 0.113082
