sp[0].id=27718,  sp[0].map_id=0
sp[1].id=27719,  sp[1].map_id=0
sp[2].id=27720,  sp[2].map_id=0
sp[3].id=27721,  sp[3].map_id=0
sp[4].id=27722,  sp[4].map_id=8
sp[5].id=27723,  sp[5].map_id=0
sp[6].id=27724,  sp[6].map_id=1
sp[7].id=27725,  sp[7].map_id=0
sp[8].id=27726,  sp[8].map_id=0
sp[9].id=27727,  sp[9].map_id=0
sp[10].id=27728,  sp[10].map_id=0
sp[11].id=27730,  sp[11].map_id=13
sp[12].id=27731,  sp[12].map_id=15
sp[13].id=27732,  sp[13].map_id=16
sp[14].id=27733,  sp[14].map_id=0
sp[15].id=27734,  sp[15].map_id=0
