X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
9.627825	6.674512	3.916629	0.035685	4937528	4944833	7577	7582	-7.315013	6.381342	22.392094	25.069672
9.629028	6.685345	3.909021	0.012559	4937528	4944837	7577	7582	-7.315013	6.381342	22.392094	25.076221
9.630221	6.696196	3.901466	0.010582	4937528	4944843	7577	7582	-7.315013	6.381342	22.392094	25.082731
9.652368	6.710274	3.869483	0.039765	4937528	4944851	7577	7582	-7.315013	6.381342	22.392094	25.121452
12.382833	6.726567	0.909855	0.032111	4937528	4944978	7577	7582	-7.315013	6.381342	22.392094	29.148085
12.398586	6.737757	0.886328	0.008793	4937528	4945272	7577	7582	-7.315013	6.381342	22.392094	29.176207
12.410635	6.730262	0.877663	0.025293	4937528	4944982	7577	7582	-7.315013	6.381342	22.392094	29.190643
12.425188	6.735232	0.859050	0.015232	4937528	4945264	7577	7582	-7.315013	6.381342	22.392094	29.214254
12.432120	6.762163	0.849258	0.039471	4937528	4940827	7577	7579	-7.315013	6.381342	22.392094	29.226496
12.437257	6.727728	0.850379	0.031755	4937528	4944981	7577	7582	-7.315013	6.381342	22.392094	29.228712
12.443020	6.755319	0.836677	0.025342	4937528	4940829	7577	7579	-7.315013	6.381342	22.392094	29.243046
12.449323	6.720225	0.841737	0.048291	4937528	4944977	7577	7582	-7.315013	6.381342	22.392094	29.243147
12.453929	6.748470	0.824097	0.011205	4937528	4940831	7577	7579	-7.315013	6.381342	22.392094	29.259602
12.464849	6.741616	0.811517	0.002942	4937528	4940833	7577	7579	-7.315013	6.381342	22.392094	29.276167
12.465068	6.734021	0.810572	0.018182	4937528	4941283	7577	7579	-7.315013	6.381342	22.392094	29.276920
12.465291	6.726423	0.809636	0.033426	4937528	4941281	7577	7579	-7.315013	6.381342	22.392094	29.277670
12.465517	6.718824	0.808711	0.048672	4937528	4941279	7577	7579	-7.315013	6.381342	22.392094	29.278416
12.747540	6.762755	0.494906	0.030965	4937528	4945004	7577	7582	-7.315013	6.381342	22.392094	29.700813
12.757308	6.742442	0.496038	0.012804	4937528	4944998	7577	7582	-7.315013	6.381342	22.392094	29.706326
9.625182	6.691090	3.897635	0.030821	4937530	4944837	7577	7582	-7.315013	6.381342	22.392094	25.082088
9.626387	6.701941	3.890033	0.007673	4937530	4944843	7577	7582	-7.315013	6.381342	22.392094	25.088644
9.638952	6.722589	3.864604	0.035885	4937530	4944853	7577	7582	-7.315013	6.381342	22.392094	25.116156
9.648554	6.716026	3.857966	0.021495	4937530	4944851	7577	7582	-7.315013	6.381342	22.392094	25.127445
12.395638	6.744470	0.871409	0.030039	4937530	4945272	7577	7582	-7.315013	6.381342	22.392094	29.185295
12.407677	6.736979	0.862773	0.046560	4937530	4944982	7577	7582	-7.315013	6.381342	22.392094	29.199703
12.411882	6.777870	0.847367	0.038182	4937530	4940825	7577	7579	-7.315013	6.381342	22.392094	29.214430
12.422245	6.741954	0.844113	0.036510	4937530	4945264	7577	7582	-7.315013	6.381342	22.392094	29.223362
12.422772	6.771031	0.834779	0.024045	4937530	4940827	7577	7579	-7.315013	6.381342	22.392094	29.230974
12.433673	6.764187	0.822191	0.009898	4937530	4940829	7577	7579	-7.315013	6.381342	22.392094	29.247528
12.444584	6.757339	0.809602	0.004258	4937530	4940831	7577	7579	-7.315013	6.381342	22.392094	29.264090
12.455504	6.750485	0.797014	0.018423	4937530	4940833	7577	7579	-7.315013	6.381342	22.392094	29.280661
12.455723	6.742884	0.796077	0.033674	4937530	4941283	7577	7579	-7.315013	6.381342	22.392094	29.281404
12.455946	6.735281	0.795149	0.048928	4937530	4941281	7577	7579	-7.315013	6.381342	22.392094	29.282146
12.744774	6.769589	0.479399	0.009359	4937530	4945004	7577	7582	-7.315013	6.381342	22.392094	29.710468
12.754504	6.749280	0.480640	0.034439	4937530	4944998	7577	7582	-7.315013	6.381342	22.392094	29.715866
9.621320	6.696842	3.886267	0.049097	4937532	4944837	7577	7582	-7.315013	6.381342	22.392094	25.087936
9.622537	6.707694	3.878618	0.025944	4937532	4944843	7577	7582	-7.315013	6.381342	22.392094	25.094538
9.635128	6.728345	3.853088	0.017615	4937532	4944853	7577	7582	-7.315013	6.381342	22.392094	25.122150
9.636319	6.739257	3.845583	0.040828	4937532	4944857	7577	7582	-7.315013	6.381342	22.392094	25.128645
9.644724	6.721786	3.846467	0.003210	4937532	4944851	7577	7582	-7.315013	6.381342	22.392094	25.133421
