X	Y	Z	Distance	BLOBPOINT 1	BLOBPOINT 2	BLOB 1	BLOB 2	Cam 1X	Cam 1Y	Cam 1Z	Dist to Cam
9.261596	4.932011	3.171572	0.035751	4993007	4997013	7613	7615	-6.823325	5.427433	19.408272	22.860458
9.282511	4.928984	3.151483	0.040804	4993007	4997005	7613	7615	-6.823325	5.427433	19.408272	22.889507
10.055252	4.906361	2.370947	0.040048	4993007	4995979	7613	7615	-6.823325	5.427433	19.408272	23.988087
10.068407	4.916444	2.353176	0.018046	4993007	4995985	7613	7615	-6.823325	5.427433	19.408272	24.009748
10.104182	4.923392	2.313643	0.001227	4993007	4995995	7613	7615	-6.823325	5.427433	19.408272	24.062853
10.139135	4.924504	2.277435	0.003287	4993007	4996759	7613	7615	-6.823325	5.427433	19.408272	24.113140
10.173246	4.919745	2.244572	0.004570	4993007	4996729	7613	7615	-6.823325	5.427433	19.408272	24.160583
10.185603	4.924033	2.230123	0.005198	4993007	4996007	7613	7615	-6.823325	5.427433	19.408272	24.179451
10.187522	4.935801	2.223221	0.029996	4993007	4996017	7613	7615	-6.823325	5.427433	19.408272	24.185463
10.235181	4.941260	2.172229	0.044405	4993007	4996024	7613	7615	-6.823325	5.427433	19.408272	24.255106
10.245681	4.933766	2.164615	0.029357	4993007	4996020	7613	7615	-6.823325	5.427433	19.408272	24.268053
10.256182	4.926272	2.157019	0.014299	4993007	4996016	7613	7615	-6.823325	5.427433	19.408272	24.280989
10.263720	4.901103	2.160013	0.038069	4993007	4995994	7613	7615	-6.823325	5.427433	19.408272	24.284698
10.265699	4.912881	2.152951	0.013207	4993007	4996006	7613	7615	-6.823325	5.427433	19.408272	24.290855
10.275202	4.899499	2.148961	0.040720	4993007	4996671	7613	7615	-6.823325	5.427433	19.408272	24.300661
10.270588	4.942413	2.135556	0.049027	4993007	4996029	7613	7615	-6.823325	5.427433	19.408272	24.306046
10.287693	4.903785	2.134345	0.030935	4993007	4995999	7613	7615	-6.823325	5.427433	19.408272	24.319738
10.289680	4.915582	2.127284	0.006040	4993007	4996011	7613	7615	-6.823325	5.427433	19.408272	24.325901
10.305140	4.937644	2.102216	0.041187	4993007	4996028	7613	7615	-6.823325	5.427433	19.408272	24.354132
10.329216	4.940388	2.076465	0.048438	4993007	4996656	7613	7615	-6.823325	5.427433	19.408272	24.389309
10.340783	4.938795	2.065301	0.045820	4993007	4996652	7613	7615	-6.823325	5.427433	19.408272	24.405409
10.352363	4.937199	2.054127	0.043199	4993007	4996031	7613	7615	-6.823325	5.427433	19.408272	24.421526
10.373556	4.922127	2.038759	0.012927	4993007	4996638	7613	7615	-6.823325	5.427433	19.408272	24.447659
10.385163	4.920523	2.027567	0.010286	4993007	4996634	7613	7615	-6.823325	5.427433	19.408272	24.463808
10.396783	4.918917	2.016364	0.007643	4993007	4996630	7613	7615	-6.823325	5.427433	19.408272	24.479975
10.408414	4.917310	2.005150	0.004996	4993007	4996626	7613	7615	-6.823325	5.427433	19.408272	24.496157
10.420056	4.915701	1.993926	0.002348	4993007	4996023	7613	7615	-6.823325	5.427433	19.408272	24.512354
