Calling PickFoodCalling CalcBlobCentersCleanInterior: i=0, j=1
CleanInterior: i=0, j=2
CleanInterior: i=0, j=3
CleanInterior: i=0, j=4
CleanInterior: i=0, j=5
CleanInterior: i=0, j=6
CleanInterior: i=0, j=7
CleanInterior: i=0, j=8
CleanInterior: i=0, j=9
CleanInterior: i=0, j=10
CleanInterior: i=0, j=11
CleanInterior: i=0, j=12
CleanInterior: i=0, j=13
CleanInterior: i=0, j=14
CleanInterior: i=0, j=15
CleanInterior: i=0, j=16
CleanInterior: i=0, j=17
CleanInterior: i=0, j=18
CleanInterior: i=0, j=19
CleanInterior: i=0, j=20
CleanInterior: i=0, j=21
CleanInterior: i=0, j=22
CleanInterior: i=0, j=23
CleanInterior: i=0, j=24
CleanInterior: i=0, j=25
CleanInterior: i=0, j=26
CleanInterior: i=0, j=27
CleanInterior: i=0, j=28
CleanInterior: i=0, j=29
CleanInterior: i=0, j=30
CleanInterior: i=0, j=31
CleanInterior: i=0, j=32
CleanInterior: i=0, j=33
CleanInterior: i=0, j=34
CleanInterior: i=0, j=35
CleanInterior: i=0, j=36
CleanInterior: i=0, j=37
CleanInterior: i=0, j=38
CleanInterior: i=0, j=39
CleanInterior: i=0, j=40
CleanInterior: i=0, j=41
CleanInterior: i=0, j=42
CleanInterior: i=1, j=0
CleanInterior: i=1, j=2
CleanInterior: i=1, j=3
CleanInterior: i=1, j=4
CleanInterior: i=1, j=5
CleanInterior: i=1, j=6
CleanInterior: i=1, j=7
CleanInterior: i=1, j=8
CleanInterior: i=1, j=9
CleanInterior: i=1, j=10
CleanInterior: i=1, j=11
CleanInterior: i=1, j=12
CleanInterior: i=1, j=13
CleanInterior: i=1, j=14
CleanInterior: i=1, j=15
CleanInterior: i=1, j=16
CleanInterior: i=1, j=17
CleanInterior: i=1, j=18
CleanInterior: i=1, j=19
CleanInterior: i=1, j=20
CleanInterior: i=1, j=21
CleanInterior: i=1, j=22
CleanInterior: i=1, j=23
CleanInterior: i=1, j=24
CleanInterior: i=1, j=25
CleanInterior: i=1, j=26
CleanInterior: i=1, j=27
CleanInterior: i=1, j=28
CleanInterior: i=1, j=29
CleanInterior: i=1, j=30
CleanInterior: i=1, j=31
CleanInterior: i=1, j=32
CleanInterior: i=1, j=33
CleanInterior: i=1, j=34
CleanInterior: i=1, j=35
CleanInterior: i=1, j=36
CleanInterior: i=1, j=37
CleanInterior: i=1, j=38
CleanInterior: i=1, j=39
CleanInterior: i=1, j=40
CleanInterior: i=1, j=41
CleanInterior: i=1, j=42
CleanInterior: i=2, j=0
CleanInterior: i=2, j=1
CleanInterior: i=2, j=3
CleanInterior: i=2, j=4
CleanInterior: i=2, j=5
CleanInterior: i=2, j=6
CleanInterior: i=2, j=7
CleanInterior: i=2, j=8
CleanInterior: i=2, j=9
CleanInterior: i=2, j=10
CleanInterior: i=2, j=11
CleanInterior: i=2, j=12
CleanInterior: i=2, j=13
CleanInterior: i=2, j=14
CleanInterior: i=2, j=15
CleanInterior: i=2, j=16
CleanInterior: i=2, j=17
CleanInterior: i=2, j=18
CleanInterior: i=2, j=19
CleanInterior: i=2, j=20
CleanInterior: i=2, j=21
CleanInterior: i=2, j=22
CleanInterior: i=2, j=23
CleanInterior: i=2, j=24
CleanInterior: i=2, j=25
CleanInterior: i=2, j=26
CleanInterior: i=2, j=27
CleanInterior: i=2, j=28
CleanInterior: i=2, j=29
CleanInterior: i=2, j=30
CleanInterior: i=2, j=31
CleanInterior: i=2, j=32
CleanInterior: i=2, j=33
CleanInterior: i=2, j=34
CleanInterior: i=2, j=35
CleanInterior: i=2, j=36
CleanInterior: i=2, j=37
CleanInterior: i=2, j=38
CleanInterior: i=2, j=39
CleanInterior: i=2, j=40
CleanInterior: i=2, j=41
CleanInterior: i=2, j=42
CleanInterior: i=3, j=0
CleanInterior: i=3, j=1
CleanInterior: i=3, j=2
CleanInterior: i=3, j=4
CleanInterior: i=3, j=5
CleanInterior: i=3, j=6
CleanInterior: i=3, j=7
CleanInterior: i=3, j=8
CleanInterior: i=3, j=9
CleanInterior: i=3, j=10
CleanInterior: i=3, j=11
CleanInterior: i=3, j=12
CleanInterior: i=3, j=13
CleanInterior: i=3, j=14
CleanInterior: i=3, j=15
CleanInterior: i=3, j=16
CleanInterior: i=3, j=17
CleanInterior: i=3, j=18
CleanInterior: i=3, j=19
CleanInterior: i=3, j=20
CleanInterior: i=3, j=21
CleanInterior: i=3, j=22
CleanInterior: i=3, j=23
CleanInterior: i=3, j=24
CleanInterior: i=3, j=25
CleanInterior: i=3, j=26
CleanInterior: i=3, j=27
CleanInterior: i=3, j=28
CleanInterior: i=3, j=29
CleanInterior: i=3, j=30
CleanInterior: i=3, j=31
CleanInterior: i=3, j=32
CleanInterior: i=3, j=33
CleanInterior: i=3, j=34
CleanInterior: i=3, j=35
CleanInterior: i=3, j=36
CleanInterior: i=3, j=37
CleanInterior: i=3, j=38
CleanInterior: i=3, j=39
CleanInterior: i=3, j=40
CleanInterior: i=3, j=41
CleanInterior: i=3, j=42
CleanInterior: i=4, j=0
CleanInterior: i=4, j=1
CleanInterior: i=4, j=2
CleanInterior: i=4, j=3
CleanInterior: i=4, j=5
CleanInterior: i=4, j=6
CleanInterior: i=4, j=7
CleanInterior: i=4, j=8
CleanInterior: i=4, j=9
CleanInterior: i=4, j=10
CleanInterior: i=4, j=11
CleanInterior: i=4, j=12
CleanInterior: i=4, j=13
CleanInterior: i=4, j=14
CleanInterior: i=4, j=15
CleanInterior: i=4, j=16
CleanInterior: i=4, j=17
CleanInterior: i=4, j=18
CleanInterior: i=4, j=19
CleanInterior: i=4, j=20
CleanInterior: i=4, j=21
CleanInterior: i=4, j=22
CleanInterior: i=4, j=23
CleanInterior: i=4, j=24
CleanInterior: i=4, j=25
CleanInterior: i=4, j=26
CleanInterior: i=4, j=27
CleanInterior: i=4, j=28
CleanInterior: i=4, j=29
CleanInterior: i=4, j=30
CleanInterior: i=4, j=31
CleanInterior: i=4, j=32
CleanInterior: i=4, j=33
CleanInterior: i=4, j=34
CleanInterior: i=4, j=35
CleanInterior: i=4, j=36
CleanInterior: i=4, j=37
CleanInterior: i=4, j=38
CleanInterior: i=4, j=39
CleanInterior: i=4, j=40
CleanInterior: i=4, j=41
CleanInterior: i=4, j=42
CleanInterior: i=5, j=0
CleanInterior: i=5, j=1
CleanInterior: i=5, j=2
CleanInterior: i=5, j=3
CleanInterior: i=5, j=4
CleanInterior: i=5, j=6
CleanInterior: i=5, j=7
CleanInterior: i=5, j=8
CleanInterior: i=5, j=9
CleanInterior: i=5, j=10
CleanInterior: i=5, j=11
CleanInterior: i=5, j=12
CleanInterior: i=5, j=13
CleanInterior: i=5, j=14
CleanInterior: i=5, j=15
CleanInterior: i=5, j=16
CleanInterior: i=5, j=17
