sp[0].id=87579,  sp[0].map_id=0
sp[1].id=87580,  sp[1].map_id=0
sp[2].id=87581,  sp[2].map_id=0
sp[3].id=87582,  sp[3].map_id=0
sp[4].id=87583,  sp[4].map_id=8
sp[5].id=87584,  sp[5].map_id=0
sp[6].id=87586,  sp[6].map_id=0
sp[7].id=87587,  sp[7].map_id=0
sp[8].id=87588,  sp[8].map_id=0
sp[9].id=87589,  sp[9].map_id=0
sp[10].id=87590,  sp[10].map_id=0
sp[11].id=87591,  sp[11].map_id=16
sp[12].id=87592,  sp[12].map_id=1
sp[13].id=87593,  sp[13].map_id=0
sp[14].id=87594,  sp[14].map_id=0
sp[15].id=87595,  sp[15].map_id=13
sp[16].id=87596,  sp[16].map_id=15
